K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.021819 0.000000 0.000000] stx = 2.142591, sta = 3.194748, osx = 11.107439, osa = 576.332935, intsqrx = 0.001101, intsqra = 0.004726 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 2.158441, sta = 3.216275, osx = 13.473643, osa = 316.203531, intsqrx = 0.001307, intsqra = 0.006868 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 29.955029, sta = 29.845951, osx = 7096.563962, osa = 223.883989, intsqrx = 0.205026, intsqra = 0.038844 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.112942 0.000000 0.000000] stx = 29.958516, sta = 29.971141, osx = 11159.306102, osa = 169.940961, intsqrx = 0.201572, intsqra = 0.022068 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.043109 0.000000 0.000000] stx = 29.952009, sta = 29.953311, osx = 517.155057, osa = 487.658741, intsqrx = 0.239059, intsqra = 0.033635 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.015938 0.000000 0.000000] stx = 29.956108, sta = 29.957199, osx = 4157.523165, osa = 1971.096320, intsqrx = 0.207216, intsqra = 0.031353 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.065384 0.000000 0.000000] stx = 29.990479, sta = 29.995365, osx = 1160.195335, osa = 193.629204, intsqrx = 0.209505, intsqra = 0.080465 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.021680 0.000000 0.000000] stx = 29.990366, sta = 29.995359, osx = 1378.982144, osa = 415.729326, intsqrx = 0.205574, intsqra = 0.083900 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.017131 0.000000 0.000000] stx = 29.989318, sta = 29.995358, osx = 392.347299, osa = 2492.674445, intsqrx = 0.242620, intsqra = 0.086507 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.138472 0.000000 0.000000] stx = 29.989647, sta = 29.994099, osx = 844.821742, osa = 219.521576, intsqrx = 0.219537, intsqra = 0.099083 
K = [28.945200 -6.310500 -0.469800 0.028300], initial cond = [0.100000 0.037595 0.000000 0.000000] stx = 29.472633, sta = 14.222158, osx = 27.563314, osa = 443.359381, intsqrx = 0.369448, intsqra = 0.034858 
K = [28.945200 -6.310500 -0.469800 0.028300], initial cond = [0.100000 0.110648 0.000000 0.000000] stx = 3.565302, sta = 5.171100, osx = 22.944032, osa = 101.389582, intsqrx = 0.002463, intsqra = 0.014197 
K = [29.028200 -6.821700 -0.385900 -0.238300], initial cond = [0.100000 -0.052700 0.000000 0.000000] stx = 3.532174, sta = 6.337051, osx = 13.834343, osa = 147.875671, intsqrx = 0.001715, intsqra = 0.004088 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.093532 0.000000 0.000000] stx = 2.407594, sta = 3.923792, osx = 8.057731, osa = 101.402346, intsqrx = 0.000873, intsqra = 0.003087 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.045697 0.000000 0.000000] stx = 29.986622, sta = 29.988375, osx = 10274.651122, osa = 556.601312, intsqrx = 0.202752, intsqra = 0.034290 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.067879 0.000000 0.000000] stx = 29.989317, sta = 29.994705, osx = 26.439956, osa = 175.301014, intsqrx = 0.003695, intsqra = 0.008153 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.000213 0.000000 0.000000] stx = 29.987841, sta = 29.993537, osx = 15.268322, osa = 1184.459457, intsqrx = 0.001731, intsqra = 0.011229 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.034598 0.000000 0.000000] stx = 2.557508, sta = 29.964507, osx = 10.202057, osa = 302.404398, intsqrx = 0.001112, intsqra = 0.006193 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.030170 0.000000 0.000000] stx = 29.994607, sta = 29.996505, osx = 20.717488, osa = 510.010284, intsqrx = 0.003425, intsqra = 0.021462 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.042005 0.000000 0.000000] stx = 10.536252, sta = 11.826547, osx = 23.971997, osa = 328.326274, intsqrx = 0.003257, intsqra = 0.006314 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.055675 0.000000 0.000000] stx = 2.488030, sta = 29.925515, osx = 9.643531, osa = 202.534036, intsqrx = 0.001002, intsqra = 0.004429 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.011775 0.000000 0.000000] stx = 29.891641, sta = 29.969675, osx = 10.769798, osa = 523.095328, intsqrx = 0.001255, intsqra = 0.009847 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.048916 0.000000 0.000000] stx = 10.536495, sta = 11.902265, osx = 23.625221, osa = 274.417054, intsqrx = 0.003228, intsqra = 0.005965 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.023772 0.000000 0.000000] stx = 29.989317, sta = 29.994376, osx = 14.757823, osa = 485.088634, intsqrx = 0.001651, intsqra = 0.008934 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.012259 0.000000 0.000000] stx = 29.971986, sta = 29.983593, osx = 15.203227, osa = 604.193026, intsqrx = 0.001330, intsqra = 0.008397 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.066689 0.000000 0.000000] stx = 29.964271, sta = 29.974022, osx = 18.407400, osa = 138.775333, intsqrx = 0.001571, intsqra = 0.011979 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.020352 0.000000 0.000000] stx = 29.992859, sta = 29.994089, osx = 30.171940, osa = 262.445594, intsqrx = 0.002609, intsqra = 0.017387 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.066746 0.000000 0.000000] stx = 29.994871, sta = 29.995619, osx = 28.281841, osa = 151.557977, intsqrx = 0.003414, intsqra = 0.024308 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.045406 0.000000 0.000000] stx = 29.994604, sta = 29.997231, osx = 17.354358, osa = 248.858658, intsqrx = 0.003086, intsqra = 0.017199 
K = [71.507500 0.000000 0.000000 0.000000], initial cond = [0.100000 0.011314 0.000000 0.000000] stx = 29.994422, sta = 29.995206, osx = 10.498553, osa = 2650.643303, intsqrx = 0.002704, intsqra = 0.037950 
K = [71.507500 0.000000 0.000000 0.000000], initial cond = [0.100000 -0.045515 0.000000 0.000000] stx = 0.369911, sta = 29.972239, osx = 3.155008, osa = 264.921038, intsqrx = 0.000832, intsqra = 0.019766 
K = [71.507500 0.000000 0.000000 0.000000], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 0.348690, sta = 29.968467, osx = 2.774336, osa = 1606.323073, intsqrx = 0.000836, intsqra = 0.032829 
K = [71.507500 0.000000 0.000000 0.000000], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 0.331264, sta = 29.965483, osx = 2.548977, osa = 314.275835, intsqrx = 0.002007, intsqra = 0.051905 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.015938 0.000000 0.000000] stx = 29.889129, sta = 29.968614, osx = 12.010709, osa = 11076.370963, intsqrx = 0.001725, intsqra = 0.012062 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.017131 0.000000 0.000000] stx = 29.900552, sta = 29.969733, osx = 18.774598, osa = 4575.209441, intsqrx = 0.006407, intsqra = 0.010026 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.067494 0.000000 0.000000] stx = 29.895606, sta = 29.973017, osx = 4.842577, osa = 118.853435, intsqrx = 0.002508, intsqra = 0.006467 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.003153 0.000000 0.000000] stx = 29.893219, sta = 29.969649, osx = 11.045627, osa = 779.695904, intsqrx = 0.001429, intsqra = 0.010040 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.006207 0.000000 0.000000] stx = 29.894216, sta = 29.969893, osx = 11.170364, osa = 644.848794, intsqrx = 0.001878, intsqra = 0.009570 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.070860 0.000000 0.000000] stx = 29.893197, sta = 29.967723, osx = 14.475848, osa = 220.328046, intsqrx = 0.001785, intsqra = 0.014967 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.035862 0.000000 0.000000] stx = 29.894242, sta = 29.968810, osx = 12.747979, osa = 531.869340, intsqrx = 0.002126, intsqra = 0.012031 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.051735 0.000000 0.000000] stx = 29.893203, sta = 29.968223, osx = 13.635598, osa = 319.860707, intsqrx = 0.001705, intsqra = 0.013540 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.014694 0.000000 0.000000] stx = 29.890474, sta = 29.968820, osx = 11.994505, osa = 68438.960187, intsqrx = 0.001485, intsqra = 0.011744 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.057354 0.000000 0.000000] stx = 29.889682, sta = 29.971166, osx = 8.873782, osa = 166.222648, intsqrx = 0.001309, intsqra = 0.008015 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.032381 0.974092 -3.673725] stx = 0.000000, sta = 0.000000, osx = 29.891616, osa = 29.966566, intsqrx = 25.778122, intsqra = 559.426809 
K = [0.001427 0.018191 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.032381 1.627987 -4.112387] stx = 0.000000, sta = 0.000000, osx = 29.891696, osa = 29.967945, intsqrx = 13.596010, intsqra = 339.616240 
K = [0.001585 0.013955 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.045058 1.837009 -4.339061] stx = 0.000000, sta = 0.000000, osx = 29.976484, osa = 29.978972, intsqrx = 17.807149, intsqra = 185.007817 
K = [0.001993 0.018416 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.032381 1.542500 -4.009691] stx = 0.000000, sta = 0.000000, osx = 29.918012, osa = 29.965648, intsqrx = 15.517121, intsqra = 386.202435 
K = [0.001657 0.014776 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 -0.015331 1.626790 -3.370415] stx = 0.000000, sta = 0.000000, osx = 29.972380, osa = 29.977123, intsqrx = 15.796982, intsqra = 654.612425 
K = [0.005403 0.180776 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.032381 1.389973 -3.967411] stx = 0.000000, sta = 0.000000, osx = 29.892105, osa = 29.970690, intsqrx = 14.977850, intsqra = 364.020885 
K = [0.001380 0.010409 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.032381 1.529973 -3.835860] stx = 0.000000, sta = 0.000000, osx = 29.891823, osa = 29.967713, intsqrx = 13.615460, intsqra = 340.350912 
K = [0.001541 0.014414 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.104992 0.032381 1.781602 -3.739547] stx = 0.000000, sta = 0.000000, osx = 29.891097, osa = 29.960209, intsqrx = 17.320156, intsqra = 398.393563 
K = [0.002207 0.034503 K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.142074 -0.059725 0.675974 -2.013212] stx = 0.000000, sta = 0.000000, osx = 29.993340, osa = 29.997431, intsqrx = 17.252975, intsqra = 240.071598 
